x,y,z,class,intensity
230.00,-6.00,0.20,ground,0.35
230.00,6.00,0.20,ground,0.35
230.00,18.00,0.20,ground,0.35
230.00,30.00,0.20,ground,0.35
250.00,-18.00,0.20,ground,0.35
250.00,-6.00,0.20,ground,0.35
250.00,6.00,0.20,ground,0.35
250.00,18.00,0.20,ground,0.35
250.00,30.00,0.20,ground,0.35
270.00,-18.00,0.20,ground,0.35
270.00,-6.00,0.20,ground,0.35
270.00,6.00,0.20,ground,0.35
270.00,18.00,0.20,ground,0.35
270.00,30.00,0.20,ground,0.35
290.00,-18.00,0.20,ground,0.35
290.00,-6.00,0.20,ground,0.35
290.00,6.00,0.20,ground,0.35
290.00,18.00,0.20,ground,0.35
290.00,30.00,0.20,ground,0.35
310.00,-18.00,0.20,ground,0.35
310.00,-6.00,0.20,ground,0.35
310.00,6.00,0.20,ground,0.35
310.00,18.00,0.20,ground,0.35
310.00,30.00,0.20,ground,0.35
330.00,-18.00,0.20,ground,0.35
330.00,-6.00,0.20,ground,0.35
330.00,6.00,0.20,ground,0.35
330.00,18.00,0.20,ground,0.35
330.00,30.00,0.20,ground,0.35
350.00,-18.00,0.20,ground,0.35
350.00,-6.00,0.20,ground,0.35
350.00,6.00,0.20,ground,0.35
350.00,18.00,0.20,ground,0.35
350.00,30.00,0.20,ground,0.35
370.00,-18.00,0.20,ground,0.35
370.00,-6.00,0.20,ground,0.35
370.00,6.00,0.20,ground,0.35
370.00,18.00,0.20,ground,0.35
370.00,30.00,0.20,ground,0.35
390.00,-18.00,0.20,ground,0.35
390.00,-6.00,0.20,ground,0.35
390.00,6.00,0.20,ground,0.35
390.00,18.00,0.20,ground,0.35
390.00,30.00,0.20,ground,0.35
410.00,-18.00,0.20,ground,0.35
410.00,-6.00,0.20,ground,0.35
410.00,6.00,0.20,ground,0.35
410.00,18.00,0.20,ground,0.35
410.00,30.00,0.20,ground,0.35
-4.02,-4.02,0.00,foundation,0.72
-4.02,-4.02,0.25,foundation,0.72
-4.02,-4.02,0.50,foundation,0.72
-4.02,4.02,0.00,foundation,0.72
-4.02,4.02,0.25,foundation,0.72
-4.02,4.02,0.50,foundation,0.72
4.02,-4.02,0.00,foundation,0.72
4.02,-4.02,0.25,foundation,0.72
4.02,-4.02,0.50,foundation,0.72
4.02,4.02,0.00,foundation,0.72
4.02,4.02,0.25,foundation,0.72
4.02,4.02,0.50,foundation,0.72
0.550,0.000,0.000,tower,0.86
-0.273,0.478,0.000,tower,0.86
-0.279,-0.474,0.000,tower,0.86
0.560,0.003,2.000,tower,0.86
-0.263,0.480,2.000,tower,0.86
-0.269,-0.471,2.000,tower,0.86
0.570,0.006,4.000,tower,0.86
-0.253,0.483,4.000,tower,0.86
-0.259,-0.468,4.000,tower,0.86
0.580,0.008,6.000,tower,0.86
-0.243,0.486,6.000,tower,0.86
-0.249,-0.466,6.000,tower,0.86
0.590,0.011,8.000,tower,0.86
-0.233,0.489,8.000,tower,0.86
-0.239,-0.463,8.000,tower,0.86
0.600,0.014,10.000,tower,0.86
-0.223,0.491,10.000,tower,0.86
-0.229,-0.460,10.000,tower,0.86
0.610,0.017,12.000,tower,0.86
-0.213,0.494,12.000,tower,0.86
-0.219,-0.457,12.000,tower,0.86
0.620,0.019,14.000,tower,0.86
-0.203,0.497,14.000,tower,0.86
-0.209,-0.454,14.000,tower,0.86
0.630,0.022,16.000,tower,0.86
-0.193,0.500,16.000,tower,0.86
-0.199,-0.452,16.000,tower,0.86
0.640,0.025,18.000,tower,0.86
-0.183,0.503,18.000,tower,0.86
-0.189,-0.449,18.000,tower,0.86
0.650,0.028,20.000,tower,0.86
-0.173,0.505,20.000,tower,0.86
-0.179,-0.446,20.000,tower,0.86
0.660,0.031,22.000,tower,0.86
-0.163,0.508,22.000,tower,0.86
-0.169,-0.443,22.000,tower,0.86
0.670,0.033,24.000,tower,0.86
-0.153,0.511,24.000,tower,0.86
-0.159,-0.441,24.000,tower,0.86
0.680,0.036,26.000,tower,0.86
-0.143,0.514,26.000,tower,0.86
-0.149,-0.438,26.000,tower,0.86
0.690,0.039,28.000,tower,0.86
-0.133,0.516,28.000,tower,0.86
-0.139,-0.435,28.000,tower,0.86
0.700,0.042,30.000,tower,0.86
-0.123,0.519,30.000,tower,0.86
-0.129,-0.432,30.000,tower,0.86
0.710,0.044,32.000,tower,0.86
-0.113,0.522,32.000,tower,0.86
-0.119,-0.429,32.000,tower,0.86
0.720,0.047,34.000,tower,0.86
-0.103,0.525,34.000,tower,0.86
-0.109,-0.427,34.000,tower,0.86
0.730,0.050,36.000,tower,0.86
-0.093,0.528,36.000,tower,0.86
-0.099,-0.424,36.000,tower,0.86
0.000,0.000,35.000,conductor,0.80
5.000,0.017,34.508,conductor,0.80
10.000,0.034,34.028,conductor,0.80
15.000,0.052,33.561,conductor,0.80
20.000,0.069,33.105,conductor,0.80
25.000,0.086,32.662,conductor,0.80
30.000,0.103,32.230,conductor,0.80
35.000,0.119,31.811,conductor,0.80
40.000,0.136,31.404,conductor,0.80
45.000,0.152,31.010,conductor,0.80
50.000,0.168,30.627,conductor,0.80
55.000,0.184,30.256,conductor,0.80
60.000,0.200,29.898,conductor,0.80
65.000,0.215,29.552,conductor,0.80
70.000,0.230,29.218,conductor,0.80
75.000,0.245,28.896,conductor,0.80
80.000,0.259,28.586,conductor,0.80
85.000,0.273,28.288,conductor,0.80
90.000,0.286,28.003,conductor,0.80
95.000,0.299,27.730,conductor,0.80
100.000,0.312,27.469,conductor,0.80
105.000,0.324,27.220,conductor,0.80
110.000,0.336,26.983,conductor,0.80
115.000,0.347,26.758,conductor,0.80
120.000,0.358,26.545,conductor,0.80
125.000,0.368,26.345,conductor,0.80
130.000,0.378,26.157,conductor,0.80
135.000,0.387,25.980,conductor,0.80
140.000,0.395,25.816,conductor,0.80
145.000,0.403,25.665,conductor,0.80
150.000,0.411,25.525,conductor,0.80
155.000,0.417,25.397,conductor,0.80
160.000,0.424,25.282,conductor,0.80
165.000,0.429,25.179,conductor,0.80
170.000,0.434,25.088,conductor,0.80
175.000,0.438,25.009,conductor,0.80
180.000,0.442,24.942,conductor,0.80
185.000,0.445,24.887,conductor,0.80
190.000,0.447,24.845,conductor,0.80
195.000,0.449,24.814,conductor,0.80
200.000,0.450,24.796,conductor,0.80
205.000,0.450,24.790,conductor,0.80
210.000,0.450,24.796,conductor,0.80
215.000,0.449,24.814,conductor,0.80
220.000,0.447,24.845,conductor,0.80
225.000,0.445,24.887,conductor,0.80
230.000,0.442,24.942,conductor,0.80
235.000,0.438,25.009,conductor,0.80
240.000,0.434,25.088,conductor,0.80
245.000,0.429,25.179,conductor,0.80
250.000,0.424,25.282,conductor,0.80
255.000,0.417,25.397,conductor,0.80
260.000,0.411,25.525,conductor,0.80
265.000,0.403,25.665,conductor,0.80
270.000,0.395,25.816,conductor,0.80
275.000,0.387,25.980,conductor,0.80
280.000,0.378,26.157,conductor,0.80
285.000,0.368,26.345,conductor,0.80
290.000,0.358,26.545,conductor,0.80
295.000,0.347,26.758,conductor,0.80
300.000,0.336,26.983,conductor,0.80
305.000,0.324,27.220,conductor,0.80
310.000,0.312,27.469,conductor,0.80
315.000,0.299,27.730,conductor,0.80
320.000,0.286,28.003,conductor,0.80
325.000,0.273,28.288,conductor,0.80
330.000,0.259,28.586,conductor,0.80
335.000,0.245,28.896,conductor,0.80
340.000,0.230,29.218,conductor,0.80
345.000,0.215,29.552,conductor,0.80
350.000,0.200,29.898,conductor,0.80
355.000,0.184,30.256,conductor,0.80
360.000,0.168,30.627,conductor,0.80
365.000,0.152,31.010,conductor,0.80
370.000,0.136,31.404,conductor,0.80
375.000,0.119,31.811,conductor,0.80
380.000,0.103,32.230,conductor,0.80
385.000,0.086,32.662,conductor,0.80
390.000,0.069,33.105,conductor,0.80
395.000,0.052,33.561,conductor,0.80
400.000,0.034,34.028,conductor,0.80
405.000,0.017,34.508,conductor,0.80
410.000,0.000,35.000,conductor,0.80
134.00,-6.00,17.92,crossing,0.58
134.00,-3.00,17.92,crossing,0.58
134.00,0.00,18.00,crossing,0.58
134.00,3.00,17.92,crossing,0.58
134.00,6.00,17.92,crossing,0.58
137.00,-6.00,17.92,crossing,0.58
137.00,-3.00,17.92,crossing,0.58
137.00,0.00,18.00,crossing,0.58
137.00,3.00,17.92,crossing,0.58
137.00,6.00,17.92,crossing,0.58
140.00,-6.00,17.92,crossing,0.58
140.00,-3.00,17.92,crossing,0.58
140.00,0.00,18.00,crossing,0.58
140.00,3.00,17.92,crossing,0.58
140.00,6.00,17.92,crossing,0.58
143.00,-6.00,17.92,crossing,0.58
143.00,-3.00,17.92,crossing,0.58
143.00,0.00,18.00,crossing,0.58
143.00,3.00,17.92,crossing,0.58
143.00,6.00,17.92,crossing,0.58
146.00,-6.00,17.92,crossing,0.58
146.00,-3.00,17.92,crossing,0.58
146.00,0.00,18.00,crossing,0.58
146.00,3.00,17.92,crossing,0.58
146.00,6.00,17.92,crossing,0.58
149.00,-6.00,17.92,crossing,0.58
149.00,-3.00,17.92,crossing,0.58
149.00,0.00,18.00,crossing,0.58
149.00,3.00,17.92,crossing,0.58
149.00,6.00,17.92,crossing,0.58
152.00,-6.00,17.92,crossing,0.58
152.00,-3.00,17.92,crossing,0.58
152.00,0.00,18.00,crossing,0.58
152.00,3.00,17.92,crossing,0.58
152.00,6.00,17.92,crossing,0.58
155.00,-6.00,17.92,crossing,0.58
155.00,-3.00,17.92,crossing,0.58
155.00,0.00,18.00,crossing,0.58
155.00,3.00,17.92,crossing,0.58
155.00,6.00,17.92,crossing,0.58
196.00,2.41,13.69,vegetation,0.62
196.00,4.20,13.84,vegetation,0.62
196.00,6.40,14.01,vegetation,0.62
196.00,8.10,14.15,vegetation,0.62
201.00,2.41,13.94,vegetation,0.62
201.00,4.20,14.09,vegetation,0.62
201.00,6.40,14.26,vegetation,0.62
201.00,8.10,14.40,vegetation,0.62
205.00,2.41,14.14,vegetation,0.62
205.00,4.20,14.29,vegetation,0.62
205.00,6.40,14.46,vegetation,0.62
205.00,8.10,14.60,vegetation,0.62
209.00,2.41,14.34,vegetation,0.62
209.00,4.20,14.49,vegetation,0.62
209.00,6.40,14.66,vegetation,0.62
209.00,8.10,14.80,vegetation,0.62
214.00,2.41,14.59,vegetation,0.62
214.00,4.20,14.74,vegetation,0.62
214.00,6.40,14.91,vegetation,0.62
214.00,8.10,15.05,vegetation,0.62
